Barco,operacion,iteraciones, tiempo,daño, complexity
Camel-RBTree,delete,7,3.134,0,6.64386
Camel-RBTree,delete,6,0.47,0,6.62936
Camel-RBTree,delete,7,0.382,0,6.61471
Camel-RBTree,delete,8,0.308,0,6.59991
Camel-RBTree,delete,7,0.532,0,6.58496
Camel-RBTree,delete,7,0.26,0,6.56986
Camel-RBTree,delete,2,0.635,0,6.55459
Camel-RBTree,delete,6,0.213,0,6.53916
Camel-RBTree,delete,6,0.256,0,6.52356
Camel-RBTree,delete,6,0.388,0,6.50779
Camel-RBTree,delete,7,0.213,0,6.49185
Camel-RBTree,delete,6,0.473,0,6.47573
Camel-RBTree,delete,2,0.266,0,6.45943
Camel-RBTree,delete,7,0.263,0,6.44294
Camel-RBTree,delete,5,0.369,0,6.42626
Camel-RBTree,delete,7,0.199,0,6.40939
Camel-RBTree,delete,7,0.226,0,6.39232
Camel-RBTree,delete,7,0.333,0,6.37504
Camel-RBTree,delete,2,0.265,0,6.35755
Camel-RBTree,delete,6,0.158,0,6.33985
Camel-RBTree,delete,6,0.239,0,6.32193
Camel-RBTree,delete,7,0.285,0,6.30378
Camel-RBTree,delete,5,0.257,0,6.2854
Camel-RBTree,delete,7,0.372,0,6.26679
Camel-RBTree,delete,6,0.273,0,6.24793
Camel-RBTree,delete,7,0.28,0,6.22882
Camel-RBTree,delete,6,0.289,0,6.20945
Camel-RBTree,delete,6,0.279,0,6.18982
Camel-RBTree,delete,7,0.167,0,6.16993
Camel-RBTree,delete,4,0.371,0,6.14975
Camel-RBTree,delete,2,0.255,0,6.12928
Camel-RBTree,delete,7,0.217,0,6.10852
Camel-RBTree,delete,8,0.282,0,6.08746
Camel-RBTree,delete,4,0.398,0,6.06609
Camel-RBTree,delete,4,0.183,0,6.04439
Camel-RBTree,delete,6,0.209,0,6.02237
Camel-RBTree,delete,6,0.202,0,6
Camel-RBTree,delete,5,0.202,0,5.97728
Camel-RBTree,delete,4,0.298,0,5.9542
Camel-RBTree,delete,4,0.221,0,5.93074
Camel-RBTree,delete,5,0.227,0,5.90689
Camel-RBTree,delete,4,0.165,0,5.88264
Camel-RBTree,delete,2,0.244,0,5.85798
Camel-RBTree,delete,6,0.155,0,5.83289
Camel-RBTree,delete,5,0.385,0,5.80735
Camel-RBTree,delete,5,0.198,0,5.78136
Camel-RBTree,delete,5,0.238,0,5.75489
Camel-RBTree,delete,6,0.231,0,5.72792
Camel-RBTree,delete,2,0.497,0,5.70044
Camel-RBTree,delete,4,0.367,0,5.67243
Camel-RBTree,delete,7,0.224,0,5.64386
Camel-RBTree,delete,6,0.188,0,5.61471
Camel-RBTree,delete,6,0.154,0,5.58496
Camel-RBTree,delete,5,0.331,0,5.55459
Camel-RBTree,delete,6,0.203,0,5.52356
Camel-RBTree,delete,3,0.253,0,5.49185
Camel-RBTree,delete,5,0.205,0,5.45943
Camel-RBTree,delete,3,0.189,0,5.42626
Camel-RBTree,delete,3,0.254,0,5.39232
Camel-RBTree,delete,5,0.236,0,5.35755
Camel-RBTree,delete,3,0.429,0,5.32193
Camel-RBTree,delete,5,0.216,0,5.2854
Camel-RBTree,delete,6,0.206,0,5.24793
Camel-RBTree,delete,5,0.257,0,5.20945
Camel-RBTree,delete,4,0.357,0,5.16993
Camel-RBTree,delete,4,0.278,0,5.12928
Camel-RBTree,delete,5,0.218,0,5.08746
Camel-RBTree,delete,5,0.177,0,5.04439
Camel-RBTree,delete,6,0.19,0,5
Camel-RBTree,delete,5,0.363,0,4.9542
Camel-RBTree,delete,5,0.198,0,4.90689
Camel-RBTree,delete,3,0.213,0,4.85798
Camel-RBTree,delete,2,0.386,0,4.80735
Camel-RBTree,delete,3,0.26,0,4.75489
Camel-RBTree,delete,1,0.335,0,4.70044
Camel-RBTree,delete,3,0.197,0,4.64386
Camel-RBTree,delete,5,0.247,0,4.58496
Camel-RBTree,delete,5,0.32,0,4.52356
Camel-RBTree,delete,3,0.285,0,4.45943
Camel-RBTree,delete,5,0.172,0,4.39232
Camel-RBTree,delete,4,0.177,0,4.32193
Camel-RBTree,delete,4,0.27,0,4.24793
Camel-RBTree,delete,3,0.345,0,4.16993
Camel-RBTree,delete,3,0.354,0,4.08746
Camel-RBTree,delete,4,0.161,0,4
Camel-RBTree,delete,4,0.257,0,3.90689
Camel-RBTree,delete,4,0.17,0,3.80735
Camel-RBTree,delete,5,0.164,0,3.70044
Camel-RBTree,delete,3,0.235,0,3.58496
Camel-RBTree,delete,1,0.276,0,3.45943
Camel-RBTree,delete,4,0.16,0,3.32193
Camel-RBTree,delete,3,0.207,0,3.16993
Camel-RBTree,delete,4,0.157,0,3
Camel-RBTree,delete,3,0.233,0,2.80735
Camel-RBTree,delete,1,0.167,0,2.58496
Camel-RBTree,delete,2,0.418,0,2.32193
Camel-RBTree,delete,2,0.258,0,2
Camel-RBTree,delete,2,0.238,0,1.58496
Camel-RBTree,delete,1,0.226,0,1
Camel-RBTree,delete,1,0.157,0,0
